evidence_class,conditions,physical_shots,analytes,primary_rmse,interpretation
PANNUSCH_PUBLISHED_FIT_SUBSET_RECONSTRUCTION,9;10;11;14;15,13,2,0.007118228530567566,fixed model; no refit
PANNUSCH_SOURCE_NONFIT_CONDITION_PREDICTION,1-8;12;13,29,2,0.009631059109492307,fixed model; no refit
PANNUSCH_ALL_CALIBRATION_FIXED_RECONSTRUCTION,1-15,42,2,0.008853278216015602,fixed model; no refit
PANNUSCH_MARCH_CAMPAIGN_FIXED_PREDICTION,PRED-C01;PRED-C02;PRED-C05;PRED-C06,12,2,0.011372155559988432,fixed model; no refit
