model_id,condition,analyte,fraction,residual,early_residual,tail_residual,rmse
MODEL-PANNUSCH-FIXED,PRED-C01,caffeine,1,-0.0062830679319889,0.012376068349743967,-0.018279404346811,0.010213296363838933
MODEL-PANNUSCH-FIXED,PRED-C01,caffeine,2,0.018659136281732866,0.012376068349743967,-0.018279404346811,0.010213296363838933
MODEL-PANNUSCH-FIXED,PRED-C01,caffeine,3,0.0074398581156062,0.012376068349743967,-0.018279404346811,0.010213296363838933
MODEL-PANNUSCH-FIXED,PRED-C01,caffeine,4,-0.0015365221185392002,0.012376068349743967,-0.018279404346811,0.010213296363838933
MODEL-PANNUSCH-FIXED,PRED-C01,caffeine,5,-0.0071664295813934666,0.012376068349743967,-0.018279404346811,0.010213296363838933
MODEL-PANNUSCH-FIXED,PRED-C01,caffeine,6,-0.011112974765417533,0.012376068349743967,-0.018279404346811,0.010213296363838933
MODEL-PANNUSCH-FIXED,PRED-C01,trigonelline,1,-0.013905663162304368,0.018807522923596633,-0.02543493555468997,0.0172544253887634
MODEL-PANNUSCH-FIXED,PRED-C01,trigonelline,2,0.032713186085901,0.018807522923596633,-0.02543493555468997,0.0172544253887634
MODEL-PANNUSCH-FIXED,PRED-C01,trigonelline,3,0.007105060676738433,0.018807522923596633,-0.02543493555468997,0.0172544253887634
MODEL-PANNUSCH-FIXED,PRED-C01,trigonelline,4,-0.000477648045645,0.018807522923596633,-0.02543493555468997,0.0172544253887634
MODEL-PANNUSCH-FIXED,PRED-C01,trigonelline,5,-0.011911858119995533,0.018807522923596633,-0.02543493555468997,0.0172544253887634
MODEL-PANNUSCH-FIXED,PRED-C01,trigonelline,6,-0.013523077434694433,0.018807522923596633,-0.02543493555468997,0.0172544253887634
MODEL-PANNUSCH-FIXED,PRED-C02,caffeine,1,-0.0009145456749322999,0.0083316911261472,-0.016364227215090232,0.007678497889985766
MODEL-PANNUSCH-FIXED,PRED-C02,caffeine,2,0.009246236801079501,0.0083316911261472,-0.016364227215090232,0.007678497889985766
MODEL-PANNUSCH-FIXED,PRED-C02,caffeine,3,0.0105375979776359,0.0083316911261472,-0.016364227215090232,0.007678497889985766
MODEL-PANNUSCH-FIXED,PRED-C02,caffeine,4,-0.0025050618886929667,0.0083316911261472,-0.016364227215090232,0.007678497889985766
MODEL-PANNUSCH-FIXED,PRED-C02,caffeine,5,-0.007778747449543833,0.0083316911261472,-0.016364227215090232,0.007678497889985766
MODEL-PANNUSCH-FIXED,PRED-C02,caffeine,6,-0.008585479765546399,0.0083316911261472,-0.016364227215090232,0.007678497889985766
MODEL-PANNUSCH-FIXED,PRED-C02,trigonelline,1,0.012323560459021166,0.0270305723797498,-0.024617822994239202,0.011744895316296
MODEL-PANNUSCH-FIXED,PRED-C02,trigonelline,2,0.014707011920728633,0.0270305723797498,-0.024617822994239202,0.011744895316296
MODEL-PANNUSCH-FIXED,PRED-C02,trigonelline,3,0.0049849695336730325,0.0270305723797498,-0.024617822994239202,0.011744895316296
MODEL-PANNUSCH-FIXED,PRED-C02,trigonelline,4,-0.0073977189191835,0.0270305723797498,-0.024617822994239202,0.011744895316296
MODEL-PANNUSCH-FIXED,PRED-C02,trigonelline,5,-0.0126558504078585,0.0270305723797498,-0.024617822994239202,0.011744895316296
MODEL-PANNUSCH-FIXED,PRED-C02,trigonelline,6,-0.0119619725863807,0.0270305723797498,-0.024617822994239202,0.011744895316296
MODEL-PANNUSCH-FIXED,PRED-C05,caffeine,1,0.0009627588175414669,0.015800069431500533,-0.014475519787451499,0.009291036834959934
MODEL-PANNUSCH-FIXED,PRED-C05,caffeine,2,0.014837310613959065,0.015800069431500533,-0.014475519787451499,0.009291036834959934
MODEL-PANNUSCH-FIXED,PRED-C05,caffeine,3,0.004459219773255933,0.015800069431500533,-0.014475519787451499,0.009291036834959934
MODEL-PANNUSCH-FIXED,PRED-C05,caffeine,4,-0.005783769417304934,0.015800069431500533,-0.014475519787451499,0.009291036834959934
MODEL-PANNUSCH-FIXED,PRED-C05,caffeine,5,-0.0071581505944073665,0.015800069431500533,-0.014475519787451499,0.009291036834959934
MODEL-PANNUSCH-FIXED,PRED-C05,caffeine,6,-0.007317369193044133,0.015800069431500533,-0.014475519787451499,0.009291036834959934
MODEL-PANNUSCH-FIXED,PRED-C05,trigonelline,1,0.007036161856778367,0.028133973083015202,-0.020141582455721535,0.013898735269954934
MODEL-PANNUSCH-FIXED,PRED-C05,trigonelline,2,0.021097811226236832,0.028133973083015202,-0.020141582455721535,0.013898735269954934
MODEL-PANNUSCH-FIXED,PRED-C05,trigonelline,3,-0.0006867808027716665,0.028133973083015202,-0.020141582455721535,0.013898735269954934
MODEL-PANNUSCH-FIXED,PRED-C05,trigonelline,4,-0.007305609824521834,0.028133973083015202,-0.020141582455721535,0.013898735269954934
MODEL-PANNUSCH-FIXED,PRED-C05,trigonelline,5,-0.009950310139007866,0.028133973083015202,-0.020141582455721535,0.013898735269954934
MODEL-PANNUSCH-FIXED,PRED-C05,trigonelline,6,-0.010191272316713667,0.028133973083015202,-0.020141582455721535,0.013898735269954934
MODEL-PANNUSCH-FIXED,PRED-C06,caffeine,1,-0.0018694405074563337,0.007579010124297133,-0.013305188185041268,0.008086864143864734
MODEL-PANNUSCH-FIXED,PRED-C06,caffeine,2,0.009448450631753466,0.007579010124297133,-0.013305188185041268,0.008086864143864734
MODEL-PANNUSCH-FIXED,PRED-C06,caffeine,3,0.0080388538841076,0.007579010124297133,-0.013305188185041268,0.008086864143864734
MODEL-PANNUSCH-FIXED,PRED-C06,caffeine,4,-0.0023126758233635667,0.007579010124297133,-0.013305188185041268,0.008086864143864734
MODEL-PANNUSCH-FIXED,PRED-C06,caffeine,5,-0.006250458405072466,0.007579010124297133,-0.013305188185041268,0.008086864143864734
MODEL-PANNUSCH-FIXED,PRED-C06,caffeine,6,-0.0070547297799688005,0.007579010124297133,-0.013305188185041268,0.008086864143864734
MODEL-PANNUSCH-FIXED,PRED-C06,trigonelline,1,0.013700262199007933,0.026533572579234433,-0.023182639714920236,0.012809493272243766
MODEL-PANNUSCH-FIXED,PRED-C06,trigonelline,2,0.012833310380226498,0.026533572579234433,-0.023182639714920236,0.012809493272243766
