scenario,pressure_difference_Pa,axial_cells,dt_s,sample_s,L_m,A_m2,k_upstream_m2,k_downstream_m2,interface_m,temperature_K,water_viscosity_Pa_s
layered_3bar,300000.0,512,0.02,0.1,0.009011660896432553,0.0026420794216690164,7.5e-16,3e-15,0.004505830448216276,363.15,0.00031267394194924405
layered_9bar,900000.0,512,0.02,0.1,0.009011660896432553,0.0026420794216690164,7.5e-16,3e-15,0.004505830448216276,363.15,0.00031267394194924405
reversed_3bar,300000.0,512,0.02,0.1,0.009011660896432553,0.0026420794216690164,3e-15,7.5e-16,0.004505830448216276,363.15,0.00031267394194924405
reversed_9bar,900000.0,512,0.02,0.1,0.009011660896432553,0.0026420794216690164,3e-15,7.5e-16,0.004505830448216276,363.15,0.00031267394194924405
uniform_3bar,300000.0,512,0.02,0.1,0.009011660896432553,0.0026420794216690164,1.2e-15,1.2e-15,0.004505830448216276,363.15,0.00031267394194924405
uniform_9bar,900000.0,512,0.02,0.1,0.009011660896432553,0.0026420794216690164,1.2e-15,1.2e-15,0.004505830448216276,363.15,0.00031267394194924405
