phi,x,production_fphi,python_fphi,fphi_absolute_error,fphi_relative_error,production_f0,python_f0,f0_absolute_error,f0_relative_error
0.12202109866812735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12202109866812735,0.1,0.3373183703485196,0.3373183703486054,8.58202398035246e-14,8.58202398035246e-14,0.34390000000000004,0.34390000000000004,0.0,0.0
0.12202109866812735,0.25,0.6755328525734073,0.675532852573597,1.8962609260597674e-13,1.8962609260597674e-13,0.68359375,0.68359375,0.0,0.0
0.12202109866812735,0.5,0.9342288699530383,0.9342288699534074,3.6903813338540203e-13,3.6903813338540203e-13,0.9375,0.9375,0.0,0.0
0.12202109866812735,0.9,0.9998901498329289,0.9998901498331555,2.2659651932599445e-13,2.2659651932599445e-13,0.9998999999999998,0.9998999999999998,0.0,0.0
0.12202109866812735,0.999999,1.0,1.0,0.0,0.0,1.0000000000000002,0.9999999999999998,4.440892098500626e-16,4.440892098500625e-16
0.12202109866812735,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,0.3385333056588025,0.3385333056587239,7.860379014346108e-14,7.860379014346108e-14,0.34390000000000004,0.34390000000000004,0.0,0.0
0.1,0.25,0.6770399834067975,0.6770399834067843,1.3211653993039363e-14,1.3211653993039363e-14,0.68359375,0.68359375,0.0,0.0
0.1,0.5,0.9348538874524497,0.9348538874524478,1.887379141862766e-15,1.887379141862766e-15,0.9375,0.9375,0.0,0.0
0.1,0.9,0.9998921006505009,0.9998921006506497,1.4876988529977098e-13,1.4876988529977098e-13,0.9998999999999998,0.9998999999999998,0.0,0.0
0.1,0.999999,1.0,1.0,0.0,0.0,1.0000000000000002,0.9999999999999998,4.440892098500626e-16,4.440892098500625e-16
0.1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.1,0.32076954482834746,0.32076954482834813,6.661338147750939e-16,6.661338147750939e-16,0.34390000000000004,0.34390000000000004,0.0,0.0
0.4,0.25,0.6541047701313013,0.6541047701313029,1.5543122344752192e-15,1.5543122344752192e-15,0.68359375,0.68359375,0.0,0.0
0.4,0.5,0.9246119910458476,0.9246119910458496,1.9984014443252818e-15,1.9984014443252818e-15,0.9375,0.9375,0.0,0.0
0.4,0.9,0.9998552154652365,0.9998552154652365,0.0,0.0,0.9998999999999998,0.9998999999999998,0.0,0.0
0.4,0.999999,0.9999999999999998,1.0,2.220446049250313e-16,2.220446049250313e-16,1.0000000000000002,0.9999999999999998,4.440892098500626e-16,4.440892098500625e-16
0.4,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
