L_over_K_m_inv,R_Q_pa_s_m3,R_bar_per_g_per_s,R_m_pa_s_kg,anchor_selected,bed_depth_m,case_id,case_kind,closure,first_drip_s,implied_dry_mass_kg,initial_stored_water_mass_kg,mass_at_final_time_kg,mass_inconsistency_kg,model,nominal_cylinder_volume_m3,phi,pressure_integration_method,pressure_pa,primary_eligible,saturated_k_m2,saturated_pore_water_mass_kg,source,source_identity,steady_outlet_volume_flow_m3_s,steady_outlet_water_mass_flow_kg_s,straight_sided_wedge_scale,target_reached,time_to_target_yield_s,transfer_interpretation,water_mass_at_end_kg_excluding_solute,wetting_k_m2
4242778199827.0024,505842149174.01953,5.241887556207456,524188755.6207456,True,0.0075097174136937945,VACA_PHI_DOSE_MEDIAN,ONE_FACTOR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,3.061241201154381,0.02,0.0,0.046252199534975155,0.0,closed_form_and_reduced_preflight_not_an_openfoam_result,1.984126984126984e-05,0.28,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,true,1.77e-15,0.005361111111111112,VACA_C1,NA,1.7792111659133065e-06,0.0017169387751063408,72.09146648398465,True,26.358519228743077,EWP_PRIMARY,0.046252199534975155,1.77e-15
47181470.661950536,5625176.569872342,5.829198518002426e-05,5829.198518002426,False,0.009011660896432553,WADS_K_MAX,ONE_FACTOR,BASELINE,4.711696185231869,0.02,0.0,3904.3915493704303,0.0,closed_form_and_reduced_preflight_not_an_openfoam_result,2.380952380952381e-05,0.4,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,false,1.91e-10,0.00919047619047619,WADSWORTH,NA,0.15999497772572577,154.39515350532537,72.09146648398465,True,4.711955260721558,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,3904.3915493704303,1.77e-15
164598028555.4711,19624080400.3615,0.20335834611773576,20335834.611773577,False,0.009011660896432553,VACA_EWP_K_MAX,ONE_FACTOR,BASELINE,4.711696185231869,0.02,0.0,1.1191806910208915,0.0,closed_form_and_reduced_preflight_not_an_openfoam_result,2.380952380952381e-05,0.4,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,false,5.4749506877571975e-14,0.00919047619047619,VACA_C1,NA,4.586202164068899e-05,0.04425685088326488,72.09146648398465,True,5.61551105686625,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.1191806910208915,1.77e-15
9950489589170.818,1186339893828.319,12.293677656252012,1229367765.6252012,False,0.01761236657283235,WADS_TOTAL_PHI_DOSE_MAX,ONE_FACTOR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,22.753646306370534,0.02,0.0,0.005304936819251858,0.0,closed_form_and_reduced_preflight_not_an_openfoam_result,4.653327128897161e-05,0.693,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,true,1.77e-15,0.03111889250814332,WADSWORTH_TOTAL,NA,7.586358721324794e-07,0.0007320836166078426,72.09146648398465,False,77.3922136674906,EWP_PRIMARY,0.005304936819251858,1.77e-15
5091333839792.402,607010579008.8234,6.290265067448947,629026506.7448946,False,0.009011660896432553,WADS_CONNECTED_PHI_DIAGNOSTIC_MAX,ONE_FACTOR,FIXED_GEOMETRY_TRANSPORT_DIAGNOSTIC,6.906087603791544,0.01089,0.0,0.03304236138496607,-0.00911,closed_form_and_reduced_preflight_not_an_openfoam_result,2.380952380952381e-05,0.6733,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,false,1.77e-15,0.015469869047619048,WADSWORTH_CONNECTED,NA,1.4826759715944223e-06,0.0014307823125886176,72.09146648398465,False,34.86282123689797,CONTEXTUAL_BOUND_ONLY,0.03304236138496607,1.77e-15
4773125474805.377,569072417820.7719,5.897123500733386,589712350.0733386,False,0.008448432090405517,VACA_PHI_DOSE_MAX,ONE_FACTOR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,4.0405018652713025,0.019999999999999997,0.0,0.039618550159836834,-3.469446951953614e-18,closed_form_and_reduced_preflight_not_an_openfoam_result,2.2321428571428568e-05,0.36,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,true,1.77e-15,0.007754464285714284,VACA_C1,NA,1.581521036367384e-06,0.0015261678000945255,72.09146648398465,False,30.24993964630858,EWP_PRIMARY,0.039618550159836834,1.77e-15
434397397.78033245,51790714.23006852,0.0005366913391716945,53669.13391716945,False,0.010382097806949946,WADS_PAIR_GUAYACAN_G01,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,6.606834969297209,0.019999999999999997,0.0,392.2897015652625,-3.469446951953614e-18,closed_form_and_reduced_preflight_not_an_openfoam_result,2.7430326969497477e-05,0.4792,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,false,2.39e-11,0.012684551239850779,WADSWORTH,Guayacan:G1,0.017377632523118986,16.76941538480982,72.09146648398465,True,6.609220264137972,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,392.2897015652625,1.77e-15
145918214.98377627,17396993.195175663,0.00018027972222979958,18027.97222297996,False,0.01076876426580269,WADS_PAIR_GUAYACAN_G03,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,7.208718770783314,0.019999999999999997,0.0,1137.7959125180207,-3.469446951953614e-18,closed_form_and_reduced_preflight_not_an_openfoam_result,2.8451930463481944e-05,0.4979,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,false,7.38e-11,0.013670398611545792,WADSWORTH,Guayacan:G3,0.05173307765905075,49.92241994098397,72.09146648398465,True,7.209520013993224,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1137.7959125180207,1.77e-15
65118253.931961566,7763676.527032707,8.045260649774826e-05,8045.260649774826,False,0.010093329359454043,WADS_PAIR_GUAYACAN_G04,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,6.176622946251568,0.02,0.0,2665.0521694376284,0.0,closed_form_and_reduced_preflight_not_an_openfoam_result,2.6667377796741242e-05,0.4643,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,false,1.55e-10,0.011948305288141014,WADSWORTH,Guayacan:G4,0.115924458839346,111.86710277996889,72.09146648398465,True,6.176980513391558,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,2665.0521694376284,1.77e-15
147124673.69319716,17540832.35850691,0.00018177028350784363,18177.028350784363,False,0.008592080943682714,WADS_PAIR_GUAYACAN_G05,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,4.205727700438706,0.019999999999999997,0.0,1277.1529328996955,-3.469446951953614e-18,closed_form_and_reduced_preflight_not_an_openfoam_result,2.27009602506186e-05,0.3707,exact_piecewise_linear_positive_driving_pressure_integral,900000.0,false,5.84e-11,0.008120712356132662,WADSWORTH,Guayacan:G5,0.051308853628232766,49.513043751244616,72.09146648398465,True,4.206535568365407,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1277.1529328996955,1.77e-15
