bed_depth_m,case_id,case_kind,closure,phi,primary_eligible,saturated_k_m2,source,source_identity,transfer_interpretation,wetting_k_m2
0.011141554786440412,WADS_PAIR_GUAYACAN_G11,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5147,false,1.58e-11,WADSWORTH,Guayacan:G11,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.009935679047885945,WADS_PAIR_TUMBA_G01,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.4558,false,6.01e-11,WADSWORTH,Tumba:G1,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.010696333408228549,WADS_PAIR_TUMBA_G02,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.4945,false,5.78e-11,WADSWORTH,Tumba:G2,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.010618610639944093,WADS_PAIR_TUMBA_G03,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.4908,false,9.93e-11,WADSWORTH,Tumba:G3,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.011231816655296075,WADS_PAIR_TUMBA_G04,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5186,false,1.04e-10,WADSWORTH,Tumba:G4,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.010608194109985347,WADS_PAIR_TUMBA_G05,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.4903,false,1.51e-10,WADSWORTH,Tumba:G5,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.010859603410041236,WADS_PAIR_TUMBA_G06,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5021,false,1.91e-10,WADSWORTH,Tumba:G6,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.012034267834096442,WADS_PAIR_TUMBA_G07,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5507,false,9.06e-11,WADSWORTH,Tumba:G7,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.011192292564395637,WADS_PAIR_TUMBA_G08,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5169,false,3.49e-11,WADSWORTH,Tumba:G8,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
0.01109355054956818,WADS_PAIR_TUMBA_G09,OBSERVED_WITHIN_SOURCE_PAIR,FIXED_DOSE_MASS_CONSERVING_PRIMARY,0.5126,false,3.4e-11,WADSWORTH,Tumba:G9,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,1.77e-15
