comparison_admissible,default_over_median,ewp_default,log10_default_over_median,mapping_class,source_support,status,support_max,support_median,support_min,viscosity_convention,why
true,0.7293946024799417,0.4,-0.13703745478951262,SOURCE_CONDITIONED_PRIOR_ONLY,WADSWORTH_TOTAL_PHI,OUTSIDE_ONE_OR_MORE_SOURCE_ENVELOPES,0.693,0.5484,0.4813,NA,descriptive source-conditioned comparison; out-of-envelope is not error or adoption authority
false,0.7803355442840423,0.4,-0.10771861052026273,CONTEXTUAL_BOUND_ONLY,WADSWORTH_CONNECTED_PHI,INSIDE_SOURCE_ENVELOPE,0.6733,0.5126,0.3707,NA,descriptive source-conditioned comparison; out-of-envelope is not error or adoption authority
false,3.062283737024222e-05,1.77e-15,-4.513954572058722,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,WADSWORTH_K,OUTSIDE_ONE_OR_MORE_SOURCE_ENVELOPES,1.91e-10,5.78e-11,1.58e-11,SOURCE_NATIVE,descriptive source-conditioned comparison; out-of-envelope is not error or adoption authority
true,1.4285714285714286,0.4,0.15490195998574316,SOURCE_CONDITIONED_PRIOR_ONLY,VACA_EPSILON_0,OUTSIDE_ONE_OR_MORE_SOURCE_ENVELOPES,0.36,0.28,0.24,NA,descriptive source-conditioned comparison; out-of-envelope is not error or adoption authority
false,0.017760661460222815,1.77e-15,-1.7505408638290771,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,VACA_K_PUBLISHED_MU,OUTSIDE_ONE_OR_MORE_SOURCE_ENVELOPES,6.083278541952441e-13,9.965845044477272e-14,5.262739547780793e-14,3.5e-3 Pa s,descriptive source-conditioned comparison; out-of-envelope is not error or adoption authority
false,0.19734068289136458,1.77e-15,-0.704783373268402,SOURCE_NATIVE_STRESS_SUPPORT_ONLY,VACA_K_EWP_MU,OUTSIDE_ONE_OR_MORE_SOURCE_ENVELOPES,5.4749506877571975e-14,8.969260540029545e-15,4.736465593002714e-15,0.000315 Pa s,descriptive source-conditioned comparison; out-of-envelope is not error or adoption authority
