model_id,mean_residual_g,late_minus_early_residual_g,interpretation
W-H0A,3.5421278126148943,-6.3818961716289,SOURCE_INTERNAL_RESIDUAL_PATTERN_NOT_MECHANISM_PROOF
W-H1,-2.677882464488262,-2.262459032367314,SOURCE_INTERNAL_RESIDUAL_PATTERN_NOT_MECHANISM_PROOF
W-H2,-8.96055178054944,-6.190858091161842,SOURCE_INTERNAL_RESIDUAL_PATTERN_NOT_MECHANISM_PROOF
W-H3,-1.858443190610086,-1.1465010959381314,SOURCE_INTERNAL_RESIDUAL_PATTERN_NOT_MECHANISM_PROOF
W-H5,3.553527390949295,-6.376900757077279,SOURCE_INTERNAL_RESIDUAL_PATTERN_NOT_MECHANISM_PROOF
