model_id,comparator,mean_paired_difference,ci95_low,ci95_high,replicates,seed
W-H1,W-H0A,-0.03653649016645791,-0.07920234493574997,-0.0006895288828759013,2000,20260831
W-H2,W-H0A,-0.1181463681593369,-0.31359055720630546,0.014852908342260522,2000,20260831
W-H3,W-H0A,-0.030956993382196592,-0.06469831033161684,-0.002561547848732734,2000,20260831
W-H5,W-H0A,7.853630015238334e-05,-2.4128921846744952e-05,0.0002159774747553808,2000,20260831
