model_id,lobo_condition_balanced_nrmse,loco_condition_balanced_nrmse,blocked_time_condition_balanced_nrmse,paired_ci_low_vs_h0a,paired_ci_high_vs_h0a,relative_improvement_vs_h0a,conditions_better,conditions_worse,coverage,failure_rate
W-H0A,0.27491807472082436,0.4470737364519208,0.27308639661264844,,,0,0,0,1.0,0.0
W-H1,0.24888838396829452,0.4100917983422724,0.40179513576505205,-0.07920234493574997,-0.0006895288828759013,0.08271999693640135,6,5,1.0,0.0
W-H2,0.21834876046349502,0.32638473719545974,0.43996282427816263,-0.31359055720630546,0.014852908342260522,0.26995323011876404,6,5,1.0,0.0
W-H3,0.25223089871405857,0.41576559159402093,0.3276807770846266,-0.06469831033161684,-0.002561547848732734,0.07002904063738664,6,5,1.0,0.0
W-H5,0.2749704257746699,0.44715387150958735,0.273144459439112,-2.4128921846744952e-05,0.0002159774747553808,-0.00017924349191823484,5,6,1.0,0.0
