temperature_C,flow_mL_s,bounds_s,raw_max_abs,normalized_share_max_abs,deterministic_rerun_max_abs,hard_ceiling,frozen_tolerance,status
86.0,1.7,0;2;4;7,0,0,0,1e-6,1e-8,PASS
92.0,2.3,0;1.5;3.5;6,0,0,0,1e-6,1e-8,PASS
