case_id,geometry_id,status,direction,force,precision,steps,wall_seconds,Mach
BASE-L32-S401-X,BASE-L32-S401,PASS,X,1e-05,f32,2400,0.8,0.0013206099759373424
BASE-L32-S503-X,BASE-L32-S503,PASS,X,1e-05,f32,13000,1.3,0.0009276529473082394
BASE-L32-S601-X,BASE-L32-S601,PASS,X,1e-05,f32,8400,1.1,0.0009513261689008707
BASE-L32-S701-X,BASE-L32-S701,PASS,X,1e-05,f32,5400,0.9,0.0015436627174010055
BASE-L32-S809-X,BASE-L32-S809,PASS,X,1e-05,f32,7000,1.0,0.0009243816853474366
BASE-L32-S907-X,BASE-L32-S907,PASS,X,1e-05,f32,1600,0.8,0.0015566807208578655
BASE-L40-S1009-X,BASE-L40-S1009,PASS,X,1e-05,f32,5800,1.3,0.0014834647223105608
BASE-L40-S101-X,BASE-L40-S101,PASS,X,1e-05,f32,4000,1.1,0.0006292507843505415
BASE-L40-S1103-X,BASE-L40-S1103,PASS,X,1e-05,f32,5800,1.3,0.00103578495653681
BASE-L40-S1201-X,BASE-L40-S1201,PASS,X,1e-05,f32,8000,1.5,0.0005409865976727645
BASE-L40-S1301-X,BASE-L40-S1301,PASS,X,1e-05,f32,9600,1.6,0.0013259988323205789
BASE-L40-S1409-X,BASE-L40-S1409,PASS,X,1e-05,f32,3000,1.0,0.001587396526757518
BASE-L40-S1511-X,BASE-L40-S1511,PASS,X,1e-05,f32,10800,1.8,0.0010095731219391857
BASE-L40-S1601-X,BASE-L40-S1601,PASS,X,1e-05,f32,2400,0.9,0.002064041382988836
BASE-L40-S1709-X,BASE-L40-S1709,PASS,X,1e-05,f32,6400,1.3,0.0007366614867187378
BASE-L40-S1801-X,BASE-L40-S1801,PASS,X,1e-05,f32,2000,0.9,0.0014179546946299615
BASE-L40-S1901-X,BASE-L40-S1901,PASS,X,1e-05,f32,38200,4.6,0.0007952770830633577
BASE-L40-S2003-X,BASE-L40-S2003,PASS,X,1e-05,f32,3400,1.0,0.0006389481751291268
BASE-L40-S211-X,BASE-L40-S211,PASS,X,1e-05,f32,2600,1.0,0.0007465411071639842
BASE-L40-S2111-X,BASE-L40-S2111,PASS,X,1e-05,f32,6400,1.3,0.0015659898086980582
BASE-L40-S2203-X,BASE-L40-S2203,PASS,X,1e-05,f32,5800,1.2,0.0009598228602520148
BASE-L40-S2309-X,BASE-L40-S2309,PASS,X,1e-05,f32,35200,4.3,0.001260265491383186
BASE-L40-S2411-X,BASE-L40-S2411,PASS,X,1e-05,f32,2200,0.9,0.0007135366680427333
BASE-L40-S307-X,BASE-L40-S307,PASS,X,1e-05,f32,5000,1.2,0.0017094421112985227
BASE-L40-S401-X,BASE-L40-S401,PASS,X,1e-05,f32,6600,1.4,0.0014508556434315292
BASE-L40-S503-X,BASE-L40-S503,PASS,X,1e-05,f32,1600,0.8,0.0008087961550918944
BASE-L40-S601-X,BASE-L40-S601,PASS,X,1e-05,f32,9200,1.6,0.0017773015154229407
BASE-L40-S701-X,BASE-L40-S701,PASS,X,1e-05,f32,21800,2.8,0.0008116207905391102
BASE-L40-S809-X,BASE-L40-S809,PASS,X,1e-05,f32,4400,1.1,0.000832580781266357
BASE-L40-S907-X,BASE-L40-S907,PASS,X,1e-05,f32,7000,1.4,0.00052048689438294
BASE-L56-S1009-X,BASE-L56-S1009,PASS,X,1e-05,f32,1600,1.1,0.0015185592827786352
BASE-L56-S101-X,BASE-L56-S101,PASS,X,1e-05,f32,7200,4.2,0.0014050225886425318
BASE-L56-S1103-X,BASE-L56-S1103,PASS,X,1e-05,f32,3000,1.5,0.0011433846434196157
BASE-L56-S1201-X,BASE-L56-S1201,PASS,X,1e-05,f32,3000,1.5,0.0013242828993044952
BASE-L56-S1301-X,BASE-L56-S1301,PASS,X,1e-05,f32,3600,1.6,0.001194000433011785
BASE-L56-S1409-X,BASE-L56-S1409,PASS,X,1e-05,f32,11000,3.7,0.000935395011243086
BASE-L56-S1511-X,BASE-L56-S1511,PASS,X,1e-05,f32,2600,1.3,0.0008581519134951677
BASE-L56-S1601-X,BASE-L56-S1601,PASS,X,1e-05,f32,9200,3.2,0.0010769465802858407
BASE-L56-S1709-X,BASE-L56-S1709,PASS,X,1e-05,f32,1600,1.1,0.001746373587133991
BASE-L56-S1801-X,BASE-L56-S1801,PASS,X,1e-05,f32,2400,1.3,0.0016590455013994771
BASE-L56-S1901-X,BASE-L56-S1901,PASS,X,1e-05,f32,1600,1.1,0.0012137042236579272
BASE-L56-S2003-X,BASE-L56-S2003,PASS,X,1e-05,f32,7600,2.8,0.0016037222885178263
BASE-L56-S211-X,BASE-L56-S211,PASS,X,1e-05,f32,2800,1.4,0.001844451156419672
BASE-L56-S2111-X,BASE-L56-S2111,PASS,X,1e-05,f32,3600,1.6,0.0016041737543254656
BASE-L56-S2203-X,BASE-L56-S2203,PASS,X,1e-05,f32,3600,1.6,0.002202430675005593
BASE-L56-S2309-X,BASE-L56-S2309,PASS,X,1e-05,f32,1800,1.1,0.001000380177156251
BASE-L56-S2411-X,BASE-L56-S2411,PASS,X,1e-05,f32,4000,1.7,0.001061794448151868
BASE-L56-S307-X,BASE-L56-S307,PASS,X,1e-05,f32,11400,3.7,0.001998074949387919
BASE-L56-S401-X,BASE-L56-S401,PASS,X,1e-05,f32,2000,1.2,0.002414328440403948
BASE-L56-S503-X,BASE-L56-S503,PASS,X,1e-05,f32,8600,2.9,0.0008056831783740557
BASE-L56-S601-X,BASE-L56-S601,PASS,X,1e-05,f32,11600,3.8,0.0018356678377145486
BASE-L56-S701-X,BASE-L56-S701,PASS,X,1e-05,f32,2800,1.4,0.001235628645362369
BASE-L56-S809-X,BASE-L56-S809,PASS,X,1e-05,f32,9800,3.3,0.0020546033481258718
BASE-L56-S907-X,BASE-L56-S907,PASS,X,1e-05,f32,1600,1.1,0.001963943408436274
BASE-L72-S1009-X,BASE-L72-S1009,PASS,X,1e-05,f32,4200,3.0,0.0015506961272130524
BASE-L72-S101-X,BASE-L72-S101,PASS,X,1e-05,f32,5600,5.3,0.0022496383917613534
BASE-L72-S1103-X,BASE-L72-S1103,PASS,X,1e-05,f32,2800,2.2,0.00107382463071028
BASE-L72-S1201-X,BASE-L72-S1201,PASS,X,1e-05,f32,2200,1.8,0.0014912550783673054
BASE-L72-S1301-X,BASE-L72-S1301,PASS,X,1e-05,f32,3400,2.5,0.0012468268726182708
BASE-L72-S1409-X,BASE-L72-S1409,PASS,X,1e-05,f32,10800,6.8,0.0012765765336240848
BASE-L72-S1511-X,BASE-L72-S1511,PASS,X,1e-05,f32,20600,12.4,0.0011661203526082185
BASE-L72-S1601-X,BASE-L72-S1601,PASS,X,1e-05,f32,2200,1.9,0.002265512889351274
BASE-L72-S1709-X,BASE-L72-S1709,PASS,X,1e-05,f32,2200,1.9,0.0012649573886042494
BASE-L72-S1801-X,BASE-L72-S1801,PASS,X,1e-05,f32,1600,1.5,0.002479457474496546
BASE-L72-S1901-X,BASE-L72-S1901,PASS,X,1e-05,f32,1800,1.6,0.0017309229310481602
BASE-L72-S2003-X,BASE-L72-S2003,PASS,X,1e-05,f32,2400,2.0,0.001964690474455615
BASE-L72-S211-X,BASE-L72-S211,PASS,X,1e-05,f32,1600,1.5,0.0015360939606844108
BASE-L72-S2111-X,BASE-L72-S2111,PASS,X,1e-05,f32,23600,14.2,0.0014824338518587715
BASE-L72-S2203-X,BASE-L72-S2203,PASS,X,1e-05,f32,4000,2.9,0.0018604780917722437
BASE-L72-S2309-X,BASE-L72-S2309,PASS,X,1e-05,f32,6600,4.4,0.0010925583445361663
BASE-L72-S2411-X,BASE-L72-S2411,PASS,X,1e-05,f32,4200,3.0,0.0012379181355422892
BASE-L72-S307-X,BASE-L72-S307,PASS,X,1e-05,f32,13600,8.2,0.0016548834060585267
BASE-L72-S401-X,BASE-L72-S401,PASS,X,1e-05,f32,5800,3.8,0.0024429212076753576
BASE-L72-S503-X,BASE-L72-S503,PASS,X,1e-05,f32,1600,1.5,0.0015059831673599356
BASE-L72-S601-X,BASE-L72-S601,PASS,X,1e-05,f32,5200,3.5,0.0018267050618549815
BASE-L72-S701-X,BASE-L72-S701,PASS,X,1e-05,f32,2000,1.7,0.0015290358503089714
BASE-L72-S809-X,BASE-L72-S809,PASS,X,1e-05,f32,1800,1.6,0.0035542521820270817
BASE-L72-S907-X,BASE-L72-S907,PASS,X,1e-05,f32,2800,2.2,0.0016783163768651808
BASE-L96-S1009-X,BASE-L96-S1009,PASS,X,1e-05,f32,2000,3.4,0.0019498523923419183
BASE-L96-S101-X,BASE-L96-S101,PASS,X,1e-05,f32,3800,5.9,0.002019681389145667
BASE-L96-S1103-X,BASE-L96-S1103,PASS,X,1e-05,f32,2800,4.6,0.00239782725423424
BASE-L96-S1201-X,BASE-L96-S1201,PASS,X,1e-05,f32,4800,7.4,0.0018859172524195002
BASE-L96-S211-X,BASE-L96-S211,PASS,X,1e-05,f32,2200,3.7,0.0023078766743978244
BASE-L96-S307-X,BASE-L96-S307,PASS,X,1e-05,f32,1800,3.1,0.00220428815737271
BASE-L96-S401-X,BASE-L96-S401,PASS,X,1e-05,f32,1600,2.8,0.0020897680783577063
BASE-L96-S503-X,BASE-L96-S503,PASS,X,1e-05,f32,4600,7.1,0.001958691967840401
BASE-L96-S601-X,BASE-L96-S601,PASS,X,1e-05,f32,4200,6.5,0.0024286100037016175
BASE-L96-S701-X,BASE-L96-S701,PASS,X,1e-05,f32,1800,3.1,0.0012624625308829802
BASE-L96-S809-X,BASE-L96-S809,PASS,X,1e-05,f32,3000,4.8,0.0021287342757049608
BASE-L96-S907-X,BASE-L96-S907,PASS,X,1e-05,f32,4000,6.1,0.0017763967690723923
DEP00-L40-S101-X,DEP00-L40-S101,PASS,X,1e-05,f32,4000,1.1,0.0006292507843505415
DEP00-L40-S211-X,DEP00-L40-S211,PASS,X,1e-05,f32,2600,0.9,0.0007465411071639842
DEP00-L40-S307-X,DEP00-L40-S307,PASS,X,1e-05,f32,5000,1.2,0.0017094421112985227
DEP00-L40-S401-X,DEP00-L40-S401,PASS,X,1e-05,f32,6600,1.4,0.0014508556434315292
DEP00-L40-S503-X,DEP00-L40-S503,PASS,X,1e-05,f32,1600,0.9,0.0008087961550918944
DEP00-L40-S601-X,DEP00-L40-S601,PASS,X,1e-05,f32,9200,1.6,0.0017773015154229407
DEP00-L40-S701-X,DEP00-L40-S701,PASS,X,1e-05,f32,21800,2.9,0.0008116207905391102
DEP00-L40-S809-X,DEP00-L40-S809,PASS,X,1e-05,f32,4400,1.1,0.000832580781266357
DEP10-L40-S101-X,DEP10-L40-S101,PASS,X,1e-05,f32,1800,0.9,0.0004981419581890692
DEP10-L40-S211-X,DEP10-L40-S211,PASS,X,1e-05,f32,16400,2.3,0.0005509533254109542
DEP10-L40-S307-X,DEP10-L40-S307,PASS,X,1e-05,f32,6200,1.3,0.0014352493233870125
DEP10-L40-S401-X,DEP10-L40-S401,PASS,X,1e-05,f32,5400,1.2,0.0011277539252675848
DEP10-L40-S503-X,DEP10-L40-S503,PASS,X,1e-05,f32,27000,3.4,0.000611561753128219
DEP10-L40-S601-X,DEP10-L40-S601,PASS,X,1e-05,f32,3400,1.0,0.0015060806589713665
DEP10-L40-S701-X,DEP10-L40-S701,PASS,X,1e-05,f32,10800,1.8,0.0006412272809905595
DEP10-L40-S809-X,DEP10-L40-S809,PASS,X,1e-05,f32,8600,1.6,0.0006360900174887354
DEP20-L40-S101-X,DEP20-L40-S101,PASS,X,1e-05,f32,2600,1.0,0.00043494909540125245
DEP20-L40-S211-X,DEP20-L40-S211,NONCONVERGED,X,1e-05,f32,50000,5.7,0.0004900603371215452
DEP20-L40-S307-X,DEP20-L40-S307,PASS,X,1e-05,f32,3400,1.0,0.0013506864909289464
DEP20-L40-S401-X,DEP20-L40-S401,PASS,X,1e-05,f32,1600,0.9,0.0009591698580108178
DEP20-L40-S503-X,DEP20-L40-S503,PASS,X,1e-05,f32,6800,1.4,0.0005436697845875735
DEP20-L40-S601-X,DEP20-L40-S601,PASS,X,1e-05,f32,1800,0.9,0.0014161330028751077
DEP20-L40-S701-X,DEP20-L40-S701,NONCONVERGED,X,1e-05,f32,50000,5.8,0.0005939374978731608
DEP20-L40-S809-X,DEP20-L40-S809,PASS,X,1e-05,f32,1600,0.9,0.0005716779046462767
DEP30-L40-S101-X,DEP30-L40-S101,PASS,X,1e-05,f32,5600,1.3,0.0003626073707747597
DEP30-L40-S211-X,DEP30-L40-S211,NONCONVERGED,X,1e-05,f32,50000,5.7,0.00036459095203846063
DEP30-L40-S307-X,DEP30-L40-S307,PASS,X,1e-05,f32,10000,1.7,0.001233949813600687
DEP30-L40-S401-X,DEP30-L40-S401,PASS,X,1e-05,f32,13800,2.1,0.0007493248102490067
DEP30-L40-S503-X,DEP30-L40-S503,PASS,X,1e-05,f32,37600,4.5,0.00041273897891512296
DEP30-L40-S601-X,DEP30-L40-S601,PASS,X,1e-05,f32,1600,0.9,0.0012777956324507877
DEP30-L40-S701-X,DEP30-L40-S701,NONCONVERGED,X,1e-05,f32,50000,5.8,0.0004992247502332959
DEP30-L40-S809-X,DEP30-L40-S809,PASS,X,1e-05,f32,31000,3.8,0.00043388233351857443
DEP40-L40-S101-X,DEP40-L40-S101,PASS,X,1e-05,f32,7000,1.4,0.00031967322955575133
DEP40-L40-S211-X,DEP40-L40-S211,NONCONVERGED,X,1e-05,f32,50000,5.7,0.00024213750574560128
DEP40-L40-S307-X,DEP40-L40-S307,PASS,X,1e-05,f32,3000,1.0,0.0010300362784770518
DEP40-L40-S401-X,DEP40-L40-S401,PASS,X,1e-05,f32,6800,1.4,0.0006180120784162636
DEP40-L40-S503-X,DEP40-L40-S503,PASS,X,1e-05,f32,5200,1.2,0.00028963973891283214
DEP40-L40-S601-X,DEP40-L40-S601,PASS,X,1e-05,f32,2000,0.9,0.0010632469420979735
DEP40-L40-S701-X,DEP40-L40-S701,NONCONVERGED,X,1e-05,f32,50000,5.8,0.0004231914255891668
DEP40-L40-S809-X,DEP40-L40-S809,PASS,X,1e-05,f32,37000,4.4,0.00033488953274523155
DIR-BASE-L40-S101-X,DIR-BASE-L40-S101,PASS,X,1e-05,f32,4000,1.1,0.0006292507843505415
DIR-BASE-L40-S101-Y,DIR-BASE-L40-S101,PASS,Y,1e-05,f32,1600,0.8,0.0005503653511835865
DIR-BASE-L40-S101-Z,DIR-BASE-L40-S101,PASS,Z,1e-05,f32,8000,1.5,0.0006093061380066658
DIR-BASE-L40-S211-X,DIR-BASE-L40-S211,PASS,X,1e-05,f32,2600,1.0,0.0007465411071639842
DIR-BASE-L40-S211-Y,DIR-BASE-L40-S211,PASS,Y,1e-05,f32,6400,1.3,0.0011946440591207555
DIR-BASE-L40-S211-Z,DIR-BASE-L40-S211,PASS,Z,1e-05,f32,5800,1.3,0.0012122445715893693
DIR-BASE-L40-S307-X,DIR-BASE-L40-S307,PASS,X,1e-05,f32,5000,1.2,0.0017094421112985227
DIR-BASE-L40-S307-Y,DIR-BASE-L40-S307,PASS,Y,1e-05,f32,4200,1.1,0.001255829471835144
DIR-BASE-L40-S307-Z,DIR-BASE-L40-S307,PASS,Z,1e-05,f32,16400,2.3,0.0007839233934860221
DIR-BASE-L40-S401-X,DIR-BASE-L40-S401,PASS,X,1e-05,f32,6600,1.4,0.0014508556434315292
DIR-BASE-L40-S401-Y,DIR-BASE-L40-S401,PASS,Y,1e-05,f32,3600,1.1,0.0015081053994391695
DIR-BASE-L40-S401-Z,DIR-BASE-L40-S401,PASS,Z,1e-05,f32,7400,1.4,0.001046404787334823
DIR-DEP30-L40-S101-X,DIR-DEP30-L40-S101,PASS,X,1e-05,f32,34200,4.1,0.00036184500552890954
DIR-DEP30-L40-S101-Y,DIR-DEP30-L40-S101,PASS,Y,1e-05,f32,43200,5.0,0.00031326076166180426
DIR-DEP30-L40-S101-Z,DIR-DEP30-L40-S101,PASS,Z,1e-05,f32,30800,3.7,0.00034704586460954095
DIR-DEP30-L40-S211-X,DIR-DEP30-L40-S211,PASS,X,1e-05,f32,30200,3.7,0.00036272300973888707
DIR-DEP30-L40-S211-Y,DIR-DEP30-L40-S211,PASS,Y,1e-05,f32,4200,1.1,0.000810033703727172
DIR-DEP30-L40-S211-Z,DIR-DEP30-L40-S211,PASS,Z,1e-05,f32,46600,5.4,0.0007647340298795137
DIR-DEP30-L40-S307-X,DIR-DEP30-L40-S307,PASS,X,1e-05,f32,20000,2.7,0.0012338467769648213
DIR-DEP30-L40-S307-Y,DIR-DEP30-L40-S307,PASS,Y,1e-05,f32,2600,1.0,0.0007487416753156913
DIR-DEP30-L40-S307-Z,DIR-DEP30-L40-S307,NONCONVERGED,Z,1e-05,f32,50000,5.6,0.0004405984671143102
DIR-DEP30-L40-S401-X,DIR-DEP30-L40-S401,PASS,X,1e-05,f32,2800,1.0,0.0007518222892545544
DIR-DEP30-L40-S401-Y,DIR-DEP30-L40-S401,PASS,Y,1e-05,f32,3000,1.0,0.0009231614775158468
DIR-DEP30-L40-S401-Z,DIR-DEP30-L40-S401,NONCONVERGED,Z,1e-05,f32,50000,5.5,0.00045677859636922865
DIR-H2-L40-S101-X,DIR-H2-L40-S101,PASS,X,1e-05,f32,4000,1.1,0.0006547355150167913
DIR-H2-L40-S101-Y,DIR-H2-L40-S101,PASS,Y,1e-05,f32,7800,1.5,0.0008891785432190613
DIR-H2-L40-S101-Z,DIR-H2-L40-S101,PASS,Z,1e-05,f32,6800,1.4,0.000893617385688634
DIR-H2-L40-S211-X,DIR-H2-L40-S211,PASS,X,1e-05,f32,4600,1.1,0.0025321430704823814
DIR-H2-L40-S211-Y,DIR-H2-L40-S211,NONCONVERGED,Y,1e-05,f32,50000,5.5,0.0004952718031321729
DIR-H2-L40-S211-Z,DIR-H2-L40-S211,PASS,Z,1e-05,f32,6600,1.3,0.002009887867807103
DIR-H2-L40-S307-X,DIR-H2-L40-S307,PASS,X,1e-05,f32,5000,1.2,0.0018102849338606515
DIR-H2-L40-S307-Y,DIR-H2-L40-S307,PASS,Y,1e-05,f32,8400,1.5,0.0024250006968875287
DIR-H2-L40-S307-Z,DIR-H2-L40-S307,PASS,Z,1e-05,f32,32400,3.8,0.0007441697522596773
DIR-H2-L40-S401-X,DIR-H2-L40-S401,PASS,X,1e-05,f32,3400,1.0,0.002028297348931478
DIR-H2-L40-S401-Y,DIR-H2-L40-S401,NONCONVERGED,Y,1e-05,f32,50000,5.3,0.0007635969470051365
DIR-H2-L40-S401-Z,DIR-H2-L40-S401,PASS,Z,1e-05,f32,2400,0.9,0.0022499678670314213
DIR-SF64-L40-S101-X,DIR-SF64-L40-S101,PASS,X,1e-05,f32,14400,2.1,0.0004336665816587378
DIR-SF64-L40-S101-Y,DIR-SF64-L40-S101,NONCONVERGED,Y,1e-05,f32,50000,5.7,0.00038289250682360416
