case_id,geometry_id,status,direction,force,precision,steps,wall_seconds,Mach
H1-C8-L40-S401-X,H1-C8-L40-S401,PASS,X,1e-05,f32,3400,1.0,0.0020275323371966927
H1-C8-L40-S503-X,H1-C8-L40-S503,PASS,X,1e-05,f32,8800,1.6,0.0015590513700317898
H1-C8-L40-S601-X,H1-C8-L40-S601,PASS,X,1e-05,f32,2400,0.9,0.001143465096683237
H1-C8-L40-S701-X,H1-C8-L40-S701,PASS,X,1e-05,f32,9800,1.7,0.0011129511296730204
H1-C8-L40-S809-X,H1-C8-L40-S809,PASS,X,1e-05,f32,2200,0.9,0.0018819941980410134
H2-C4-L40-S101-X,H2-C4-L40-S101,PASS,X,1e-05,f32,9000,1.6,0.001200165794453181
H2-C4-L40-S211-X,H2-C4-L40-S211,PASS,X,1e-05,f32,2000,0.9,0.0021602300144960597
H2-C4-L40-S307-X,H2-C4-L40-S307,PASS,X,1e-05,f32,26600,3.3,0.0009231922271968048
H2-C4-L40-S401-X,H2-C4-L40-S401,PASS,X,1e-05,f32,4600,1.1,0.00197123662784776
H2-C4-L40-S503-X,H2-C4-L40-S503,PASS,X,1e-05,f32,2200,0.9,0.00209252002357551
H2-C4-L40-S601-X,H2-C4-L40-S601,NONCONVERGED,X,1e-05,f32,50000,5.5,0.0008794557965560139
H2-C4-L40-S701-X,H2-C4-L40-S701,PASS,X,1e-05,f32,2000,0.9,0.0013595265705205594
H2-C4-L40-S809-X,H2-C4-L40-S809,PASS,X,1e-05,f32,24600,3.1,0.0010928596914095549
H2-C8-L40-S101-X,H2-C8-L40-S101,PASS,X,1e-05,f32,4000,1.1,0.0006547355150167913
H2-C8-L40-S211-X,H2-C8-L40-S211,PASS,X,1e-05,f32,4600,1.1,0.0025321430704823814
H2-C8-L40-S307-X,H2-C8-L40-S307,PASS,X,1e-05,f32,5000,1.2,0.0018102849338606515
H2-C8-L40-S401-X,H2-C8-L40-S401,PASS,X,1e-05,f32,3400,1.0,0.002028297348931478
H2-C8-L40-S503-X,H2-C8-L40-S503,PASS,X,1e-05,f32,2200,0.9,0.0018647574391753392
H2-C8-L40-S601-X,H2-C8-L40-S601,PASS,X,1e-05,f32,1600,0.9,0.0016603150095392258
H2-C8-L40-S701-X,H2-C8-L40-S701,PASS,X,1e-05,f32,3600,1.1,0.0016713089782586657
H2-C8-L40-S809-X,H2-C8-L40-S809,PASS,X,1e-05,f32,1600,0.9,0.0017175487353853177
SF50-L40-S101-X,SF50-L40-S101,PASS,X,1e-05,f32,5800,1.3,0.0014662832120519848
SF50-L40-S211-X,SF50-L40-S211,PASS,X,1e-05,f32,5200,1.2,0.0018972240613357029
SF50-L40-S307-X,SF50-L40-S307,PASS,X,1e-05,f32,2800,1.0,0.001773950304291647
SF50-L40-S401-X,SF50-L40-S401,PASS,X,1e-05,f32,2800,1.0,0.0015969071510312683
SF50-L40-S503-X,SF50-L40-S503,PASS,X,1e-05,f32,6200,1.3,0.00177960522102914
SF50-L40-S601-X,SF50-L40-S601,PASS,X,1e-05,f32,1600,0.8,0.0019791391950353446
SF50-L40-S701-X,SF50-L40-S701,PASS,X,1e-05,f32,7800,1.4,0.0009878349122371356
SF50-L40-S809-X,SF50-L40-S809,PASS,X,1e-05,f32,14400,2.1,0.0012265370232986566
SF55-L40-S101-X,SF55-L40-S101,PASS,X,1e-05,f32,4000,1.1,0.0006292507843505415
SF55-L40-S211-X,SF55-L40-S211,PASS,X,1e-05,f32,2600,0.9,0.0007465411071639842
SF55-L40-S307-X,SF55-L40-S307,PASS,X,1e-05,f32,5000,1.2,0.0017094421112985227
SF55-L40-S401-X,SF55-L40-S401,PASS,X,1e-05,f32,6600,1.4,0.0014508556434315292
SF55-L40-S503-X,SF55-L40-S503,PASS,X,1e-05,f32,1600,0.8,0.0008087961550918944
SF55-L40-S601-X,SF55-L40-S601,PASS,X,1e-05,f32,9200,1.6,0.0017773015154229407
SF55-L40-S701-X,SF55-L40-S701,PASS,X,1e-05,f32,21800,2.8,0.0008116207905391102
SF55-L40-S809-X,SF55-L40-S809,PASS,X,1e-05,f32,4400,1.1,0.000832580781266357
SF60-L40-S101-X,SF60-L40-S101,PASS,X,1e-05,f32,4000,1.1,0.0006292507843505415
SF60-L40-S211-X,SF60-L40-S211,NONCONVERGED,X,1e-05,f32,50000,5.7,0.0006390659312844021
SF60-L40-S307-X,SF60-L40-S307,PASS,X,1e-05,f32,1600,0.8,0.0011773891529023846
SF60-L40-S401-X,SF60-L40-S401,PASS,X,1e-05,f32,1800,0.9,0.0012179528213800647
SF60-L40-S503-X,SF60-L40-S503,PASS,X,1e-05,f32,8000,1.5,0.0007999857665856653
SF60-L40-S601-X,SF60-L40-S601,PASS,X,1e-05,f32,2200,0.9,0.0007566990374265571
SF60-L40-S701-X,SF60-L40-S701,PASS,X,1e-05,f32,21800,2.8,0.0008116207905391102
SF60-L40-S809-X,SF60-L40-S809,PASS,X,1e-05,f32,7800,1.5,0.0006294875568939182
SF64-L40-S101-X,SF64-L40-S101,PASS,X,1e-05,f32,14400,2.1,0.0004336665816587378
SF64-L40-S211-X,SF64-L40-S211,PASS,X,1e-05,f32,1600,0.8,0.0006108156952951393
SF64-L40-S307-X,SF64-L40-S307,PASS,X,1e-05,f32,6200,1.3,0.0008195401440279393
SF64-L40-S401-X,SF64-L40-S401,PASS,X,1e-05,f32,1800,0.9,0.0011978148049113448
SF64-L40-S503-X,SF64-L40-S503,PASS,X,1e-05,f32,6000,1.3,0.0006918074311984054
SF64-L40-S601-X,SF64-L40-S601,PASS,X,1e-05,f32,2200,0.9,0.0007566990374265571
SF64-L40-S701-X,SF64-L40-S701,PASS,X,1e-05,f32,17000,2.4,0.000771315822655982
SF64-L40-S809-X,SF64-L40-S809,PASS,X,1e-05,f32,25600,3.2,0.0004084722338402891
