geometry_id,Kx,Ky,Kz,Kperp,Kperp_over_Kx,Ky_over_Kx,Kz_over_Kx,state
DIR-BASE-L40-S101,0.8201423407052879,0.7431370430888309,0.6741624300784669,0.7086497365836488,0.8640570074387818,0.9061073989300007,0.8220066159475629,BASE
DIR-BASE-L40-S211,0.6234082587284342,1.9161941333408663,0.9436806962790945,1.4299374148099804,2.293741532597954,3.073738768314246,1.5137442968816615,BASE
DIR-BASE-L40-S307,2.6532356575802147,1.15328499852384,0.41844764389329553,0.7858663212085678,0.2961916778720244,0.4346711515160515,0.15771220422799728,BASE
DIR-BASE-L40-S401,3.0731911713542965,3.393079963646433,0.34828785716955263,1.8706839104079929,0.6087105572360532,1.1040901051889875,0.11333100928311883,BASE
DIR-DEP30-L40-S101,0.2768690984905185,0.22733454600105463,0.1596690366567472,0.1935017913289009,0.6988926983324124,0.8210903536742646,0.5766950429905602,DEP30
DIR-DEP30-L40-S211,0.11921515360280031,0.7118417227795896,0.33303117075335287,0.5224364467664713,4.382298986143314,5.971067446268582,2.7935305260180456,DEP30
DIR-H2-L40-S101,1.1320159315330982,0.6678147309811866,1.3019592290368132,0.9848869800089999,0.8700292571635097,0.589934039246921,1.1501244750800983,H2
DIR-H2-L40-S307,2.5823441911233056,3.829825500211841,0.33171941992367193,2.0807724600677564,0.8057688309793559,1.4830809592991891,0.12845670265952264,H2
DIR-SF64-L40-S211,0.49281683681812544,0.5740731643304731,0.45879463782709806,0.5164339010787855,1.0479226002365174,1.1648813949559425,0.9309638055170926,SF64
DIR-SF64-L40-S307,0.7235483651031293,0.7109214253325096,0.21143686271249332,0.46117914402250143,0.637385372236683,0.982548589175763,0.29222215529760287,SF64
DIR-SF64-L40-S401,1.3111450007260423,1.2118846301526196,0.23519281375981416,0.7235387219562168,0.5518373036968143,0.9242948945246654,0.17937971286896331,SF64
