geometry_id,physical_lineage_id,family,L,voxel_um,seed,relation,frozen_relation,analysis_relation,parent_id,geometry_sha256,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,state_phis,state_amp,state_hlen,restriction_fraction
BASE-L160-S601,LINEAGE-399ce2b2720fbd50,BASELINE,160,30.0,601,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,b385759cf207ac02d0d2a451a65d991a1bf46a33cbdf1d702010fc3f20e4ffd5,0.44988720703125,0.449799072265625,0.449799072265625,0.449799072265625,0.55011279296875,0.1531591796875,1.0,2.8284271247461903,6.164414002968976,-360,0.55,0,8,0.0
BASE-L160-S701,LINEAGE-9f6b2b22f246b394,BASELINE,160,30.0,701,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,f68738afe13aba0471c30c0a702b15c3de2ed2ef571a8491db3e86d703217103,0.449888916015625,0.4498154296875,0.4498154296875,0.4498154296875,0.550111083984375,0.1512021484375,1.0,2.8284271247461903,6.324555320336759,-365,0.55,0,8,0.0
BASE-L160-S809,LINEAGE-33e7620090869406,BASELINE,160,30.0,809,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,deaafd1a69f36ff72a9aa9ac111f636eb5bd9fb4d63bb3b82eb4859a0ac2cce3,0.44964892578125,0.449560791015625,0.449560791015625,0.449560791015625,0.55035107421875,0.154310546875,1.0,2.8284271247461903,6.164414002968976,-355,0.55,0,8,0.0
BASE-L24-S1009,LINEAGE-f149db10340eb480,BASELINE,24,30.0,1009,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,e29a261db8f2798f4599e4ed9810dabd449ee412ac7e693472bd5fbf29a78c15,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.5972222222222222,0.20572916666666666,1.0,2.0,3.605551275463989,1,0.55,0,8,0.0
BASE-L24-S101,LINEAGE-2e949a90570d3484,BASELINE,24,30.0,101,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,0ff83eaa871862722cdec71c8fdd8b622fec4231c83ffb4cc5ce183e59ac15a2,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.5879629629629629,0.19039351851851852,1.0,2.23606797749979,4.242640687119285,1,0.55,0,8,0.0
BASE-L24-S1103,LINEAGE-f13dca266369e7bf,BASELINE,24,30.0,1103,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,7699b1e50ea6afaca781fb63472a3fab774b413547787699ad0ce15dddf3af78,0.39641203703703703,0.39641203703703703,0.39641203703703703,0.39641203703703703,0.6035879629629629,0.2037037037037037,1.0,2.0,3.605551275463989,-1,0.55,0,8,0.0
BASE-L24-S1201,LINEAGE-1cdd60eb24acfb3a,BASELINE,24,30.0,1201,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,afdcb707a3d4382aca3d6c9336abcd22d3b30500a2c2c81a0b11f2d9506a43b3,0.3697916666666667,0.3697916666666667,0.3697916666666667,0.3697916666666667,0.6302083333333334,0.20052083333333334,1.0,2.0,3.605551275463989,-2,0.55,0,8,0.0
BASE-L24-S1301,LINEAGE-fdf3984153637443,BASELINE,24,30.0,1301,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,7b54fb664e5b788cd85e5f8c25091cb2964173314fe87b89f6037a7ed159f650,0.4156539351851852,0.4156539351851852,0.4156539351851852,0.4156539351851852,0.5843460648148148,0.1947337962962963,1.0,2.23606797749979,4.242640687119285,1,0.55,0,8,0.0
BASE-L24-S1409,LINEAGE-4eabc902c0d554cb,BASELINE,24,30.0,1409,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,20f5fbd2fc1aa6d60622fd7966d34b910d357f7518b478c6806cf72e9e654210,0.37962962962962965,0.37962962962962965,0.37962962962962965,0.37962962962962965,0.6203703703703703,0.2126736111111111,1.0,1.7320508075688772,3.360867837790133,-1,0.55,0,8,0.0
BASE-L24-S1511,LINEAGE-3e529843e5b7e281,BASELINE,24,30.0,1511,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,INDEPENDENT_REALIZATIONS,,709333bcf1854ebd872f2ab9d08affc68b7a424f0e10a8093b38b38dddc90791,0.27835648148148145,0.27806712962962965,0.27806712962962965,0.27806712962962965,0.7216435185185185,0.22005208333333334,1.0,1.4142135623730951,2.8284271247461903,-3,0.55,0,8,0.0
