case_id,geometry_id,family,state,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose
BASE-L96-S211-X,BASE-L96-S211,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1
BASE-L96-S307-X,BASE-L96-S307,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1
BASE-L96-S401-X,BASE-L96-S401,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1
BASE-L96-S503-X,BASE-L96-S503,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2
BASE-L96-S601-X,BASE-L96-S601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2
BASE-L96-S701-X,BASE-L96-S701,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2
BASE-L96-S809-X,BASE-L96-S809,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2
BASE-L96-S907-X,BASE-L96-S907,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,907,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L96-S1009-X,BASE-L96-S1009,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1009,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L96-S1103-X,BASE-L96-S1103,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1103,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L96-S1201-X,BASE-L96-S1201,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1201,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L96-S1301-X,BASE-L96-S1301,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1301,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L96-S1409-X,BASE-L96-S1409,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1409,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L96-S1511-X,BASE-L96-S1511,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1511,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L96-S1601-X,BASE-L96-S1601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L96-S1709-X,BASE-L96-S1709,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1709,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5
BASE-L96-S1801-X,BASE-L96-S1801,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1801,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5
BASE-L96-S1901-X,BASE-L96-S1901,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,1901,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5
BASE-L96-S2003-X,BASE-L96-S2003,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,2003,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_5
BASE-L96-S2111-X,BASE-L96-S2111,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,2111,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6
BASE-L96-S2203-X,BASE-L96-S2203,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,2203,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6
BASE-L96-S2309-X,BASE-L96-S2309,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,2309,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6
BASE-L96-S2411-X,BASE-L96-S2411,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",96,30,2411,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_6
BASE-L128-S101-X,BASE-L128-S101,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1
BASE-L128-S211-X,BASE-L128-S211,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1
BASE-L128-S307-X,BASE-L128-S307,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1
BASE-L128-S401-X,BASE-L128-S401,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_1
BASE-L128-S503-X,BASE-L128-S503,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2
BASE-L128-S601-X,BASE-L128-S601,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2
BASE-L128-S701-X,BASE-L128-S701,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2
BASE-L128-S809-X,BASE-L128-S809,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_2
BASE-L128-S907-X,BASE-L128-S907,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,907,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L128-S1009-X,BASE-L128-S1009,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,1009,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L128-S1103-X,BASE-L128-S1103,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,1103,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L128-S1201-X,BASE-L128-S1201,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,1201,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_3
BASE-L128-S1301-X,BASE-L128-S1301,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,1301,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
BASE-L128-S1409-X,BASE-L128-S1409,BASELINE,"{""amp"":0,""hlen"":8,""phis"":0.55}",128,30,1409,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCIENTIFIC_COMPLETION_BATCH_4
