case_id,geometry_id,family,L,voxel_um,seed,relation,parent_id,direction,force,precision,purpose,status,geometry_sha256,K_gross_lu2,K_void_lu2,q_box_lu,phi_gross,phi_connected_x,phi_connected_y,phi_connected_z,solid_fraction,specific_interfacial_area_lu,pore_distance_q10,pore_distance_q50,pore_distance_q90,euler_characteristic,velocity_cv,flux_gini,top_10_flow_share,top_25_flow_share,normalized_flow_entropy,Mach,steps,wall_seconds,state_phis,state_amp,state_hlen,restriction_fraction
BASE-L24-S101-X,BASE-L24-S101,BASELINE,24,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,0ff83eaa871862722cdec71c8fdd8b622fec4231c83ffb4cc5ce183e59ac15a2,1.2148544917161377,2.94841090124366,5.206519250212019e-05,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.41203703703703703,0.5879629629629629,0.19039351851851852,1.0,2.23606797749979,4.242640687119285,1,1.412469646714383,0.6633841773132335,0.5156759815474508,0.7933856979616059,0.7053282635303915,0.0007016470770584064,6200,2.5,0.55,0,8,0.0
BASE-L24-S211-X,BASE-L24-S211,BASELINE,24,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,fe34bf3d96c133c111bdac8e96490f2835af940147da063e2cb1ea6bf43f83ab,0.8693234617575563,2.084928441245048,3.7256719789609565e-05,0.41695601851851855,0.41695601851851855,0.41695601851851855,0.41695601851851855,0.5830439814814815,0.19299768518518517,1.0,2.23606797749979,4.58257569495584,-1,1.252975642989879,0.6321871912989575,0.4176516195957464,0.7260688739190388,0.7325444697743325,0.0005383632970218542,4200,0.9,0.55,0,8,0.0
BASE-L24-S307-X,BASE-L24-S307,BASELINE,24,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,411e1bc793875b624e2115c734c9258638650e3b2c734fc5adb81d068d1e21bb,0.5429112542231014,1.7709309057055578,2.3267625180990062e-05,0.30656828703703703,0.30656828703703703,0.30656828703703703,0.30656828703703703,0.6934317129629629,0.16666666666666666,1.0,2.0,4.0,-1,1.557225014281792,0.7084711575672265,0.5628228633538409,0.8375259015309923,0.6558158271325146,0.0004126778828277113,2000,0.8,0.55,0,8,0.0
BASE-L24-S401-X,BASE-L24-S401,BASELINE,24,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,c7ee63746d2c3a30043ddd0bb4959711f0c99cd61182cd4233f7f193cffc6beb,1.092994326359966,3.0279666468136615,4.68426139868557e-05,0.3609664351851852,0.3609664351851852,0.3609664351851852,0.3609664351851852,0.6390335648148148,0.17201967592592593,1.0,2.0,4.123105625617661,0,1.4391097838302183,0.6827349097794437,0.46957795606024066,0.8256433256502965,0.6789487767840878,0.000744013483389235,7800,1.0,0.55,0,8,0.0
BASE-L24-S503-X,BASE-L24-S503,BASELINE,24,30,503,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,7ea59a784a701024e4f7ad05751497e27ecfd8f82be02ead8990aa296fb7cb66,1.37324183533942,3.5463656139981583,5.885322151454659e-05,0.38722511574074076,0.38722511574074076,0.38722511574074076,0.38722511574074076,0.6127748842592593,0.1775173611111111,1.0,2.23606797749979,4.47213595499958,-1,1.5017359349151296,0.6912989552601011,0.526284456063969,0.8197063857242147,0.6774468566817127,0.000928885959105343,16000,1.4,0.55,0,8,0.0
BASE-L24-S601-X,BASE-L24-S601,BASELINE,24,30,601,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,656543e11bbcc96cd18a8324d7ef46a6cd8d223a5a28fd06f0e2191e170af2e6,2.021437407011742,4.529068187119987,8.663303172907467e-05,0.44632523148148145,0.44632523148148145,0.44632523148148145,0.44632523148148145,0.5536747685185185,0.18287037037037038,1.0,2.23606797749979,4.242640687119285,1,1.3474579788508243,0.6407091120725993,0.4861060480011189,0.7364348432328224,0.7323756037521882,0.000876048429449987,7200,1.0,0.55,0,8,0.0
BASE-L24-S701-X,BASE-L24-S701,BASELINE,24,30,701,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,830c7b40072d33575471535ddfe6a9f92c4cfd0110bf268f928abcd99e2a9935,0.33565288482617356,0.7822092852051624,1.438512363540744e-05,0.4291087962962963,0.4291087962962963,0.4291087962962963,0.4291087962962963,0.5708912037037037,0.19039351851851852,1.0,2.23606797749979,4.242640687119285,1,1.3352611405177526,0.6554873930628635,0.44680492565146007,0.7616718963501601,0.7098706601339971,0.0004026043629598337,17800,1.4,0.55,0,8,0.0
BASE-L24-S809-X,BASE-L24-S809,BASELINE,24,30,809,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,a3475e2c0483be404d910a69160dc2606d2610ebece8dc205f8083fae13863da,0.5957262177843886,1.9786927521987958,2.5531123619330948e-05,0.30107060185185186,0.30107060185185186,0.30107060185185186,0.30107060185185186,0.6989293981481481,0.16565393518518517,1.0,2.0,3.7416573867739413,0,1.4754790161238749,0.6951128334132065,0.5195816469231501,0.8012121980745992,0.6678160509298816,0.00039390086740191855,11400,1.2,0.55,0,8,0.0
BASE-L32-S101-X,BASE-L32-S101,BASELINE,32,30,101,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,94063f8aba77cd792b8cfcb798b9288884b88ed04014ff8b589dadd77ba78477,1.2480981652544942,3.5995142298063074,5.3489921368049756e-05,0.34674072265625,0.346710205078125,0.346710205078125,0.346710205078125,0.65325927734375,0.16741943359375,1.0,2.23606797749979,4.242640687119285,-4,1.6667055958000327,0.6901775186241592,0.5761313934425489,0.8090407463317111,0.6716258642644983,0.0008762702304273891,13600,2.9,0.55,0,8,0.0
BASE-L32-S211-X,BASE-L32-S211,BASELINE,32,30,211,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,e4edd11b668876d9b10412382870a3a3aaf834d7c0fd60187af1f0a4e13991bd,0.9673267097203524,2.1952601720421434,4.145685898801511e-05,0.440643310546875,0.440521240234375,0.440521240234375,0.440521240234375,0.559356689453125,0.1708984375,1.0,2.23606797749979,5.0,1,1.4490669624220047,0.6079035439444809,0.5579048904013721,0.707030856465363,0.7487072165020677,0.0008816018218310054,36000,2.3,0.55,0,8,0.0
BASE-L32-S307-X,BASE-L32-S307,BASELINE,32,30,307,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,c620791263263081df4352bf6a8d43ed90a73014c86b4b2287d3f7ff909093b8,1.9549933789060527,4.634393622223362,8.378543052454513e-05,0.421844482421875,0.42181396484375,0.42181396484375,0.42181396484375,0.578155517578125,0.1663818359375,1.0,2.23606797749979,5.0,-3,1.3068372079187047,0.6307460544711062,0.4498849122730437,0.7306447795893615,0.7418729693942692,0.0011924357279348393,2400,0.8,0.55,0,8,0.0
BASE-L32-S401-X,BASE-L32-S401,BASELINE,32,30,401,INDEPENDENT_REALIZATIONS,,X,1e-05,f32,SCORED,PASS,24ef50153f57bb76a30c1a4be4748d0c2ae032ea86d0a8e0f130da2c170478b0,4.121869939366854,9.28093411483358,0.00017665156883000805,0.444122314453125,0.444091796875,0.444091796875,0.444091796875,0.555877685546875,0.13250732421875,1.0,3.0,5.385164807134504,0,1.1238524809599644,0.589239052131765,0.37618626609866035,0.6420376185618097,0.7553673737598814,0.0013206099759373424,2400,0.8,0.55,0,8,0.0
